,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50,bioactivity_class
51,CHEMBL183767,N/C(S)=N/N=C(\Cc1ccccc1)c1ccc(Cl)c(Cl)c1,338.26300000000003,4.184700000000002,2.0,2.0,5.075720713938118,intermediate
52,CHEMBL182795,Cc1ccc(/C(=N\N=C(\N)S)c2ccc(Cl)c(Cl)c2)cc1,338.26300000000003,4.298720000000002,2.0,2.0,5.7447274948966935,intermediate
53,CHEMBL183396,N/C(S)=N/N=C(/c1ccc(Cl)c(Cl)c1)C1CC1c1ccccc1,364.3010000000001,4.745700000000003,2.0,2.0,6.1938200260161125,active
54,CHEMBL182790,N/C(S)=N/N=C(\COc1ccccc1)c1ccc(Cl)c(Cl)c1,354.26200000000006,4.021000000000002,2.0,3.0,6.425968732272281,active
55,CHEMBL183005,N/C(S)=N/N=C(\CCc1ccccc1)c1ccc(Cl)c(Cl)c1,352.2900000000001,4.574800000000002,2.0,2.0,5.585026652029182,intermediate
56,CHEMBL195381,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc3c(c2)OCO3)cc1,420.8520000000002,5.608800000000003,2.0,4.0,5.6020599913279625,intermediate
57,CHEMBL194821,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1,411.2880000000001,6.533500000000004,2.0,2.0,5.585026652029182,intermediate
58,CHEMBL195822,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1,445.7330000000002,7.186900000000003,2.0,2.0,5.6020599913279625,intermediate
59,CHEMBL191640,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(F)cc2F)cc1,412.8230000000001,6.158300000000003,2.0,2.0,5.585026652029182,intermediate
60,CHEMBL192149,COc1cc(/C=C/C(=O)c2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2)cc(OC)c1OC,466.92100000000016,5.905900000000005,2.0,5.0,5.7447274948966935,intermediate
