molecule_chembl_id,canonical_smiles,standard_value
CHEMBL207102,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,15040.0
CHEMBL207117,COc1ccc(NC(=O)OC[C@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)N[C@H]3CC(=O)OC3O)C2=O)cc1,8790.0
CHEMBL377886,O=C(CN1C(=O)[C@@H](COC(=O)Nc2cccc3ccccc23)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,11190.0
CHEMBL379633,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1/CCCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,23600.0
CHEMBL211516,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,13700.0
CHEMBL379148,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCCN(c2ccccc2)S1(=O)=O)Cc1ccccc1,31400.0
CHEMBL213961,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C1\CCN(Cc2ccccc2)S1(=O)=O)Cc1ccccc1,48400.0
CHEMBL213827,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C1\CCCN(c2ccccc2)S1(=O)=O)Cc1ccccc1,26500.0
CHEMBL224801,O=C(O)c1ccccc1N/N=C/c1ccc(/C=N/Nc2ccccc2C(=O)O)cc1,1000.0
CHEMBL222709,O=C(Nc1cccc(O)c1)c1cccc(S(=O)(=O)Nc2cccc(O)c2)c1,50000.0
CHEMBL221471,OC[C@@H](O)/C=N/Nc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1,50000.0
CHEMBL222708,O=C(CSc1ccc2ccccc2n1)N/N=C/c1ccc(O)cc1O,63400.0
CHEMBL222707,CCCc1cc(O)nc(SCC(=O)Nc2ccccc2)n1,59900.0
CHEMBL222706,OC[C@H](O)/C=N/Nc1nc(Nc2ccccc2)nc(N2CCCCC2)n1,54600.0
CHEMBL376232,CCOP(=O)(CC(=O)NNC(=O)Nc1cccc2ccccc12)OCC,53400.0
CHEMBL224916,O=C(Cc1nnc(NC(=O)c2ccccc2)s1)N/N=C\c1ccc(O)c(O)c1,31100.0
CHEMBL224915,O=C(Cn1nnc(-c2ccccc2)n1)N/N=C1\C(=O)Nc2ccccc21,27300.0
CHEMBL222270,O=C(CNC(=O)[C@@H]1COc2ccccc2O1)N/N=C/c1cccs1,26600.0
CHEMBL373909,Oc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,22500.0
CHEMBL374367,Oc1ccc(/C=N/CC/N=C/c2ccc(O)cc2O)c(O)c1,20800.0
CHEMBL374510,N#CCC(=O)N/N=C\c1ccc(OCC(=O)Nc2ccc(F)cc2)cc1,5700.0
CHEMBL426564,O=C(CN1C(=O)/C(=N\NC(=O)c2ccncc2)c2ccccc21)Nc1ccccc1,40900.0
CHEMBL224858,CCCS(=O)(=O)N1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,12400.0
CHEMBL224803,O=C(CSc1nnnn1-c1ccccc1)Nc1ccc(-n2cnnn2)cc1,7500.0
CHEMBL221833,Cc1cccc(NC(=O)CCC(=O)N/N=C/c2cc(Cl)ccc2O)c1,7500.0
CHEMBL438659,O=C(N/N=C/c1ccccc1O)c1cccc(C(=O)N/N=C/c2ccccc2O)n1,7000.0
CHEMBL221991,O=C(NCc1ccc(/C=c2/sc3n(c2=O)CCN=3)o1)C(=O)Nc1ccccc1,6200.0
CHEMBL436500,COC(=O)c1ccccc1NC(=O)COC(=O)CSc1nc(C)cc(C)n1,6200.0
CHEMBL222325,Oc1cccc(/C=N\c2cccc3c(/N=C/c4cccc(O)c4O)cccc23)c1O,4600.0
CHEMBL222322,C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1c(O)c2ccccc2oc1=O,3900.0
CHEMBL222871,O=C(N/N=C/c1ccc(/C=N/NC(=O)c2ccccc2O)cc1)c1ccccc1O,2200.0
CHEMBL222870,Oc1ccc(/C=N/c2ccc(/N=C/c3ccc(O)cc3O)c(Cl)c2)c(O)c1,2100.0
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,15.0
CHEMBL224891,CCN(CC)Cc1c(O)ccc(C=O)c1O,20000.0
CHEMBL224258,O=Cc1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,20000.0
CHEMBL387974,CN1CCN(Cc2c(O)ccc(C=O)c2O)CC1,20000.0
CHEMBL225644,O=Cc1ccc(O)c(CN2CCOCC2)c1O,20000.0
CHEMBL225592,O=Cc1ccc(O)c(CN2CCCCC2)c1O,20000.0
CHEMBL388317,O=Cc1ccc(O)c(CN2CCCC2)c1O,20000.0
CHEMBL427253,NC(=S)N/N=C/c1ccc(O)c(CN2CCOCC2)c1O,20000.0
CHEMBL388101,Cc1c(O)ccc(/C=N/NC(N)=S)c1O,20000.0
CHEMBL224260,NC(=O)N/N=C/c1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,20000.0
CHEMBL387860,CN1CCN(Cc2c(O)ccc(/C=N/NC(=O)NCCNc3ccnc4cc(Cl)ccc34)c2O)CC1,20000.0
CHEMBL389869,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCOCC2)c1O,20000.0
CHEMBL225323,CCN(CC)Cc1c(O)ccc(/C=N/NC(N)=S)c1O,11070.0
CHEMBL224893,NC(=S)N/N=C/c1ccc(O)c(CN2CCCC2)c1O,5850.0
CHEMBL225646,NC(=S)N/N=C/c1ccc(O)c(CN2CCCCC2)c1O,3800.0
CHEMBL225184,CN1CCN(Cc2c(O)ccc(/C=N/NC(N)=S)c2O)CC1,18220.0
CHEMBL224312,NC(=S)N/N=C/c1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,2250.0
CHEMBL225449,CCN(CC)Cc1c(O)ccc(/C=N/NC(=O)NCCNc2ccnc3cc(Cl)ccc23)c1O,2600.0
CHEMBL223654,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCCC2)c1O,720.0
CHEMBL434743,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCCCC2)c1O,630.0
CHEMBL224025,O=C(NCCNc1ccnc2cc(Cl)ccc12)N/N=C/c1ccc(O)c(CN2CCN(c3ccnc4cc(Cl)ccc34)CC2)c1O,3160.0
CHEMBL398828,C/C(CC(=O)c1ccc(Cl)c(Cl)c1)=N\NC(=S)NCCCNc1ccnc2cc(Cl)ccc12,20000.0
CHEMBL250154,C/C(CC(=O)c1ccc(Cl)c(Cl)c1)=N\NC(=S)NCCNc1ccnc2cc(Cl)ccc12,4416.0
CHEMBL250155,C/C(CC(=O)c1ccc(Br)cc1)=N\NC(=S)NCCNc1ccnc2cc(Cl)ccc12,12932.0
CHEMBL399032,C/C(CC(=O)c1ccc(Br)cc1)=N\NC(=S)NCCCNc1ccnc2cc(Cl)ccc12,20000.0
CHEMBL378223,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,8000.0
CHEMBL272015,CS(=O)(=O)/C=C/[C@H](CCc1ccccc1)NC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21,8000.0
CHEMBL403991,CCS(=O)(=O)/C=C/[C@H](CCc1ccccc1)NC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21,8000.0
CHEMBL402455,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,8000.0
CHEMBL405741,COc1ccc(S(=O)(=O)/C=C/[C@H](CCc2ccccc2)NC(=O)CN2C(=O)[C@@H](COC(=O)Nc3ccc(Cl)cc3C(F)(F)F)N=C(c3ccccc3)c3ccccc32)cc1,8000.0
CHEMBL407354,CS(=O)(=O)/C=C/CNC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21,8000.0
CHEMBL270278,CCS(=O)(=O)/C=C/CNC(=O)CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21,8000.0
CHEMBL408071,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21)NC/C=C/S(=O)(=O)c1ccccc1,8000.0
CHEMBL271992,COc1ccc(S(=O)(=O)/C=C/CNC(=O)CN2C(=O)C(COC(=O)Nc3ccc(Cl)cc3C(F)(F)F)N=C(c3ccccc3)c3ccccc32)cc1,8000.0
CHEMBL488829,O=C[C@H](CCc1ccccc1)n1cccc(NC(=O)OCc2ccccc2)c1=O,10900.0
CHEMBL486232,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,2.0
CHEMBL487275,COC(=O)/C=C/[C@H](CCc1ccccc1)n1cccc(NC(=O)OCc2ccccc2)c1=O,19000.0
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,47.0
CHEMBL592303,C#CCOc1ccc(C(=O)/C=C/c2ccc(OC)c(OC)c2OC)cc1,100000.0
CHEMBL592268,C#CCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,100000.0
CHEMBL606235,C#CCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2)cc1,100000.0
CHEMBL589904,C#CCOc1cccc(C(=O)/C=C/c2ccc(OC)c(OC)c2OC)c1,100000.0
CHEMBL589903,C#CCOc1cccc(C(=O)/C=C/c2ccc(OC)cc2OC)c1,100000.0
CHEMBL596611,C#CCOc1cccc(C(=O)/C=C/c2ccc(OC)cc2)c1,100000.0
CHEMBL596610,C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)c(OC)c1OC,100000.0
CHEMBL597220,C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1OC,100000.0
CHEMBL597219,C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1,100000.0
CHEMBL597017,C#CCOc1ccc(/C=C/C(=O)c2ccc(OC)c(OC)c2OC)cc1,100000.0
CHEMBL602103,C#CCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2OC)cc1,100000.0
CHEMBL589510,C#CCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1,100000.0
CHEMBL597626,C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)c(OC)c2OC)c1,19000.0
CHEMBL597625,C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)cc2OC)c1,100000.0
CHEMBL597624,C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)cc2)c1,100000.0
CHEMBL597896,C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)c(OC)c1OC,100000.0
CHEMBL589509,C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)cc1OC,100000.0
CHEMBL597892,C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)cc1,100000.0
CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,87.0
